DATE,BOGZ1FL073165103Q
1971-01-01,7330.0
1971-04-01,7429.0
1971-07-01,7668.0
1971-10-01,7544.0
1972-01-01,7349.0
1972-04-01,7347.0
1972-07-01,7406.0
1972-10-01,7431.0
1973-01-01,7446.0
1973-04-01,7650.0
1973-07-01,8457.0
1973-10-01,8626.0
1974-01-01,8462.0
1974-04-01,8887.0
1974-07-01,9606.0
1974-10-01,9793.0
1975-01-01,9168.0
1975-04-01,8875.0
1975-07-01,8984.0
1975-10-01,9156.0
1976-01-01,8842.0
1976-04-01,8795.0
1976-07-01,8965.0
1976-10-01,8843.0
1977-01-01,8694.0
1977-04-01,8827.0
1977-07-01,8923.0
1977-10-01,8937.0
1978-01-01,9127.0
1978-04-01,9558.0
1978-07-01,9760.0
1978-10-01,10122.0
1979-01-01,10409.0
1979-04-01,10764.0
1979-07-01,11157.0
1979-10-01,12485.0
1980-01-01,13680.0
1980-04-01,14419.0
1980-07-01,12643.0
1980-10-01,14278.0
1981-01-01,15142.0
1981-04-01,16239.0
1981-07-01,17444.0
1981-10-01,17694.0
1982-01-01,17378.0
1982-04-01,16760.0
1982-07-01,16088.0
1982-10-01,13948.0
1983-01-01,13014.0
1983-04-01,12783.0
1983-07-01,13685.0
1983-10-01,13460.0
1984-01-01,13333.0
1984-04-01,14035.0
1984-07-01,14494.0
1984-10-01,13648.0
1985-01-01,13064.0
1985-04-01,12785.0
1985-07-01,12141.0
1985-10-01,11731.0
1986-01-01,10584.0
1986-04-01,10246.0
1986-07-01,10235.0
1986-10-01,9661.0
1987-01-01,9093.0
1987-04-01,10343.0
1987-07-01,10531.0
1987-10-01,10840.0
1988-01-01,10067.0
1988-04-01,10385.0
1988-07-01,10505.0
1988-10-01,10410.0
1989-01-01,10820.0
1989-04-01,10636.0
1989-07-01,10008.0
1989-10-01,9814.0
1990-01-01,10132.0
1990-04-01,10324.0
1990-07-01,10103.0
1990-10-01,9959.0
1991-01-01,9501.0
1991-04-01,9522.0
1991-07-01,9273.0
1991-10-01,8690.0
1992-01-01,8688.0
1992-04-01,8678.0
1992-07-01,8011.0
1992-10-01,8212.0
1993-01-01,7708.0
1993-04-01,7430.0
1993-07-01,7062.0
1993-10-01,7058.0
1994-01-01,7353.0
1994-04-01,8468.0
1994-07-01,8596.0
1994-10-01,9105.0
1995-01-01,8785.0
1995-04-01,7918.0
1995-07-01,7696.0
1995-10-01,7339.0
1996-01-01,7272.0
1996-04-01,8102.0
1996-07-01,8147.0
1996-10-01,7703.0
1997-01-01,7793.0
1997-04-01,7927.0
1997-07-01,7470.0
1997-10-01,7193.0
1998-01-01,7052.0
1998-04-01,7098.0
1998-07-01,6853.0
1998-10-01,6777.0
1999-01-01,6885.0
1999-04-01,7238.0
1999-07-01,7785.0
1999-10-01,7852.0
2000-01-01,8257.0
2000-04-01,8316.0
2000-07-01,8020.0
2000-10-01,7621.0
2001-01-01,7007.0
2001-04-01,7130.0
2001-07-01,6964.0
2001-10-01,6771.0
2002-01-01,6972.0
2002-04-01,6813.0
2002-07-01,6289.0
2002-10-01,6075.0
2003-01-01,5841.0
2003-04-01,5507.0
2003-07-01,6034.0
2003-10-01,5919.0
2004-01-01,5592.0
2004-04-01,6159.0
2004-07-01,5870.0
2004-10-01,5736.0
2005-01-01,5768.0
2005-04-01,5708.0
2005-07-01,5764.0
2005-10-01,6226.0
2006-01-01,6247.0
2006-04-01,6602.0
2006-07-01,6560.0
2006-10-01,6244.0
2007-01-01,6215.0
2007-04-01,6358.0
2007-07-01,6552.0
2007-10-01,6225.0
2008-01-01,5872.0
2008-04-01,6087.0
2008-07-01,6322.0
2008-10-01,5841.0
2009-01-01,5060.0
2009-04-01,5012.0
2009-07-01,5146.0
2009-10-01,4921.0
2010-01-01,5002.0
2010-04-01,4884.0
2010-07-01,4437.0
2010-10-01,4436.0
2011-01-01,4847.0
2011-04-01,4651.0
2011-07-01,4292.0
2011-10-01,4002.0
2012-01-01,3922.0
2012-04-01,3795.0
2012-07-01,3554.0
2012-10-01,3359.0
2013-01-01,3497.0
2013-04-01,3672.0
2013-07-01,4440.0
2013-10-01,4293.0
2014-01-01,4365.0
2014-04-01,4228.0
2014-07-01,4135.0
2014-10-01,3964.0
2015-01-01,3717.0
2015-04-01,3819.0
2015-07-01,3947.0
2015-10-01,3902.0
2016-01-01,3738.0
2016-04-01,3589.0
2016-07-01,3446.0
2016-10-01,3842.0
2017-01-01,4173.0
2017-04-01,3980.0
2017-07-01,3884.0
2017-10-01,3922.0
2018-01-01,4282.0
2018-04-01,4545.0
2018-07-01,4567.0
2018-10-01,4785.0
2019-01-01,4374.0
2019-04-01,4011.0
2019-07-01,3658.0
2019-10-01,3700.0
2020-01-01,3522.0
2020-04-01,3239.0
2020-07-01,2947.0
2020-10-01,2752.0
2021-01-01,2899.0
2021-04-01,2988.0
2021-07-01,2864.0
2021-10-01,3079.0
2022-01-01,3822.0
2022-04-01,5266.0
2022-07-01,5623.0
